Name: STRATO3, HW Version: 1.1, SW Version: 2.0, SN: 1001005000366
#;Up-Time;UTC;Date;RMC Valid;Sats in use;Latitude;Longitude;Speed over Ground [knots];Speed over Ground [km/h];Course over Ground;Altitude NN [m];Board: Temp [C];Extern: Temp [C];Extern: Hum [perc];Extern: Press [hPa];Batt Voltage [V];Logger Status
$;00:00:01;00:00:01;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;16.375;17.0;34.401;1031.439;9.0;66561
$;00:00:03;08:35:15;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;16.375;17.125;34.393;1031.589;9.0;66579
$;00:00:05;08:35:17;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;16.250;16.750;34.431;1031.500;9.0;66583
$;00:00:07;08:35:19;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;16.125;16.625;34.508;1031.560;9.0;66615
$;00:00:09;08:35:21;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;16.125;16.500;34.554;1031.569;9.0;66611
$;00:00:11;08:35:23;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;16.0;16.375;34.622;1031.439;9.0;66615
$;00:00:13;08:35:25;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;16.0;16.375;34.683;1031.569;9.0;66615
$;00:00:15;08:35:27;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;16.0;16.250;34.752;1031.569;9.0;66611
$;00:00:17;08:35:29;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;16.0;16.125;34.805;1031.660;9.0;66615
$;00:00:19;08:35:31;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;16.0;16.125;35.118;1031.680;9.0;66615
$;00:00:21;08:35:33;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;16.0;16.125;35.49;1031.569;9.0;66611
$;00:00:23;08:35:35;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;16.0;16.0;35.57;1031.630;9.0;66615
$;00:00:25;08:35:37;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;15.875;15.875;35.233;1031.630;9.0;66615
$;00:00:27;08:35:39;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;15.750;16.0;35.378;1031.619;9.0;66615
$;00:00:29;08:35:41;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;15.875;15.875;35.286;1031.619;9.0;66615
$;00:00:31;08:35:43;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;15.750;15.750;35.156;1031.560;9.0;66615
$;00:00:33;08:35:45;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;15.750;15.625;35.378;1031.619;9.0;66615
$;00:00:35;08:35:47;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;15.750;15.500;35.400;1031.839;9.0;66615
$;00:00:37;08:35:49;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;15.750;15.500;35.355;1031.599;9.0;66615
$;00:00:39;08:35:51;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;15.625;15.375;35.454;1031.709;9.0;66615
$;00:00:41;08:35:53;14.02.2019;Y;04;52 19.72841 N;009 44.51468 E;2.053;3.8;347.42;43.3;15.750;15.250;35.538;1031.599;8.9;66679
$;00:00:43;08:35:55;14.02.2019;Y;04;52 19.72876 N;009 44.51491 E;1.506;2.7;;44.8;15.625;15.125;35.690;1031.530;9.0;66679
$;00:00:45;08:35:57;14.02.2019;Y;04;52 19.72995 N;009 44.51455 E;1.669;3.0;;46.0;15.625;15.125;35.957;1031.550;9.0;66679
$;00:00:47;08:35:59;14.02.2019;Y;04;52 19.72964 N;009 44.51551 E;1.434;2.6;39.54;47.1;15.625;14.875;36.156;1031.670;9.0;66679
$;00:00:49;08:36:01;14.02.2019;Y;04;52 19.73088 N;009 44.51482 E;1.812;3.3;8.36;46.5;15.625;14.875;36.369;1031.729;8.9;66679
$;00:00:51;08:36:03;14.02.2019;Y;04;52 19.73257 N;009 44.51430 E;3.992;7.3;350.12;46.9;15.625;14.750;36.560;1031.699;8.9;66675
$;00:00:53;08:36:05;14.02.2019;Y;04;52 19.73231 N;009 44.51431 E;0.014;0.0;;47.1;15.625;14.750;36.705;1031.719;9.0;66679
$;00:00:55;08:36:07;14.02.2019;Y;04;52 19.73333 N;009 44.51396 E;3.131;5.7;349.87;47.3;15.625;14.750;36.827;1031.520;8.9;66679
$;00:00:57;08:36:09;14.02.2019;Y;04;52 19.73270 N;009 44.51401 E;0.494;0.9;;47.1;15.500;14.750;36.972;1031.709;9.0;66679
$;00:00:59;08:36:11;14.02.2019;Y;04;52 19.73226 N;009 44.51409 E;3.902;7.2;335.49;47.0;15.625;14.500;37.87;1031.750;8.9;66675
$;00:01:01;08:36:13;14.02.2019;Y;04;52 19.73494 N;009 44.51319 E;4.299;7.9;345.72;47.0;15.500;14.625;37.201;1031.780;9.0;66679
$;00:01:03;08:36:15;14.02.2019;Y;04;52 19.74256 N;009 44.51089 E;3.603;6.6;347.03;48.6;15.500;14.375;37.308;1031.689;8.9;66679
$;00:01:05;08:36:17;14.02.2019;Y;04;52 19.74326 N;009 44.51071 E;0.674;1.2;;48.9;15.500;14.500;37.415;1031.780;8.9;66679
$;00:01:07;08:36:19;14.02.2019;Y;04;52 19.74399 N;009 44.51054 E;0.213;0.3;;49.0;15.500;14.375;37.491;1031.699;9.0;66679
$;00:01:09;08:36:21;14.02.2019;Y;04;52 19.74155 N;009 44.51116 E;1.537;2.8;;49.0;15.500;14.375;37.582;1031.719;9.0;66679
$;00:01:11;08:36:23;14.02.2019;Y;04;52 19.74017 N;009 44.51164 E;0.235;0.4;;49.0;15.500;14.250;37.682;1031.760;9.0;66679
$;00:01:13;08:36:25;14.02.2019;Y;04;52 19.73754 N;009 44.51247 E;1.636;3.0;347.77;49.0;15.500;14.125;37.811;1031.890;8.9;66679
$;00:01:15;08:36:27;14.02.2019;Y;04;52 19.73478 N;009 44.51357 E;1.920;3.5;246.55;48.8;15.500;14.125;37.941;1031.800;9.0;66679
$;00:01:17;08:36:29;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;15.375;14.125;38.48;1031.839;8.9;66615
$;00:01:19;08:36:31;14.02.2019;Y;04;52 19.73938 N;009 44.51116 E;3.173;5.8;310.58;45.5;15.375;14.0;38.132;1031.849;8.9;66679
$;00:01:21;08:36:33;14.02.2019;Y;04;52 19.73731 N;009 44.51221 E;1.609;2.9;335.95;44.9;15.125;14.0;38.216;1031.699;9.0;66679
$;00:01:23;08:36:35;14.02.2019;Y;04;52 19.73677 N;009 44.51282 E;1.985;3.6;;44.2;15.500;14.0;38.300;1031.829;9.0;66679
